prod_id;prod_name;prod_description;prod_brand;category;prod_unit_price
17500081026;Spray Niágara limón ;Spray Niágara limón x 567g;NIAGARA;Cuidado de ropa y calzado;9990
17500081200;Spray Niágara original ;Spray Niágara original x 567g;NIAGARA;Cuidado de ropa y calzado;10990
17500081255;Spray Niágara lavanda ;Spray Niágara lavanda x 567g;NIAGARA;Cuidado de ropa y calzado;9990
17500081507;Spray Niágara fuerte ;Spray Niágara fuerte x 567g;NIAGARA;Cuidado de ropa y calzado;10990
19161010902;Gomas Efrutti aros durazno ;Gomas Efrutti aros durazno x 50g + gusanos x 100g gratis juego Triqui;EFRUTTI;Dulces y postres;7390
21000653218;Macarroni-cheese three ;Macarroni-cheese three x 206 gr;KRAFT;Despensa;7990
21000658978;Macarroni-Cheese Spirals ;Macarroni-Cheese Spirals X 156g;KRAFT;Despensa;4190
25293001244;Bebida De Almendra Silk Vainilla ;Bebida De Almendra Silk Vainilla x 946ml;SILK;Lácteos, huevos y refrigerados;12990
25293001251;Bebida De Almendra Silk Original ;Bebida De Almendra Silk Original x 946ml;SILK;Lácteos, huevos y refrigerados;13590
25293001374;Bebida De Soya Silk Chocolate ;Bebida De Soya Silk Chocolate x 236ml;SILK;Lácteos, huevos y refrigerados;5590
25293001695;Bebida Almendra Vainilla Sin Endulzar ;Bebida Almendra Vainilla S Azu;SILK;Lácteos, huevos y refrigerados;12850
25293001701;Bebida almendra sin endulzar Silk ;Bebida almendra sin endulzar Silk x 946 ML;SILK;Lácteos, huevos y refrigerados;13390
25293600898;Bebida De Soya Silk Sin Endulzar ;Bebida De Soya Silk Sin Endulzar x 946ml;SILK;Lácteos, huevos y refrigerados;13390
25293600904;Bebida De Soya Silk Original ;Bebida De Soya Silk Original x 946ml;SILK;Lácteos, huevos y refrigerados;13990
25293600911;Bebida De Soya Silk Vainilla ;Bebida De Soya Silk Vainilla x 946ml;SILK;Lácteos, huevos y refrigerados;13390
27578200250;Envoltura spring home rollo primavera 8 segundos ;Envoltura spring home rollo primavera 8 segundos x 25 hj x 340 g;MARCA BLANCA;Productos Congelados;10390
29000016071;Marañones en mitades planters ;Marañones en mitades planters x 226 gr;PLANTERS;Pasabocas;28990
29000072121;Maní Coctel ;Maní Coctel X 340g;PLANTERS;Pasabocas;11390
29000072800;Maní Tostado Miel Tarro ;Maní Tostado Miel Tarro X 340g;PLANTERS;Pasabocas;7973
30900007007;Cream cheese Pauly ;Cream cheese Pauly x 227g;PAULY CHEESE;Charcutería;9390
31200200075;Jugo Ocean Spray cranberry cocktail ;Jugo Ocean Spray cranberry cocktail x 1.89 L;OCEAN SPRAY;Bebidas;14990
31200220073;Cran-Grape Juice Grape ;Cran-Grape Juice Grape x 1.89 Lts;OCEAN SPRAY;Bebidas;15590
31200261076;Cran-Raspberry Juice ;Cran-Raspberry Juice x 1.89 Lts;OCEAN SPRAY;Bebidas;14990
31200342270;Jugo Ocean Spray cranberry light cocktail ;Jugo Ocean Spray cranberry light cocktail x 1890ml;OCEAN SPRAY;Bebidas;14590
33844002619;Leche de coco Badia ;Leche de coco Badia x 400 ml;BADIA;Dulces y postres;9990
34000002399;Tableta Chocolate Blanco Cookies Creme ;Tableta Chocolate Blanco Cookies Creme x 43g;HERSHEYS;Dulces y postres;3090
34000002412;Tableta Chocolate y Almendra Hersheys ;Tableta Chocolate y Almendra Hersheys x 41g;HERSHEYS;Dulces y postres;3090
34000003129;Syrup Chocolate x 24Oz Hershey’s;Syrup Chocolate x 24Oz Hershey’s;HERSHEYS;Dulces y postres;20590
34000003662;Syrup Caramelo Hersheys ;Syrup Caramelo Hersheys x 623g;HERSHEYS;Dulces y postres;17990
34000032426;Nuggets Hersheys surtido fiesta bolsa ;Nuggets Hersheys surtido fiesta bolsa x 961 g;HERSHEYS;Dulces y postres;75990
34000110483;Chocolate Hersheys hugs leche ;Chocolate Hersheys hugs leche x 76 g;HERSHEYS;Dulces y postres;7790
34000130030;Chocolate kisses leche Hersheys bolsa fiesta ;Chocolate kisses leche Hersheys bolsa fiesta x 1.13 kg;HERSHEYS;Dulces y postres;37990
34000133185;Chocolate Hersheys kisses cookies creme ;Chocolate Hersheys kisses cookies creme x 76 g;HERSHEYS;Dulces y postres;7790
34000212101;Miniatura Hersheys Bolsa Mediana ;Miniatura Hersheys Bolsa Mediana x 150 g;HERSHEYS;Dulces y postres;15990
34000239290;Chocolatina Hersheys Cookies N Creme ;Chocolatina Hersheys Cookies N Creme x 8und x 102g;HERSHEYS;Dulces y postres;12390
34000312450;Syrup chocolate Hersheys ;Syrup chocolate Hersheys x 2 und x 1.36 kg c-u;HERSHEYS;Dulces y postres;45990
36600813719;Protector Labial ChapStick Cereza ;Protector Labial ChapStick Cereza x 4gr;CHAPSTICK;Belleza;0
36600814013;Protecto Labial ChapStick Fresa x 4gr;Protecto Labial ChapStick Fresa x 4gr;CHAPSTICK;Belleza;11390
37000007746;Enjuague Cascade platinum lavaplatos ;Enjuague Cascade platinum lavaplatos x 250ml;CASCADE;Limpieza de cocina;16590
37000018704;Pluma removedora de manchas instantanea Tide To Go ;Pluma removedora de manchas instantanea Tide To Go x 1 und;TIDE;Cuidado de ropa y calzado;10390
37000208266;Detergente Dreft líquido para recipen nacidos 1ra etapa ;Detergente Dreft líquido para recipen nacidos 1ra etapa x 1.47 L;DREFT;Cuidado de ropa y calzado;36990
37000230328;Gain Island Fresh Lift y Lock Detergente Líquido ;Gain Island Fresh Lift y Lock Detergente Líquido x 4.43 L;GAIN;Cuidado de ropa y calzado;44793
37000230335;Gain Original Detergente Líquido para lavar ropa ;Gain Original Detergente Líquido para lavar ropa x 4.4 L;GAIN;Cuidado de ropa y calzado;49990
37000230687;Detergente líquido Tide HE Turbo Clean aroma original  ;Detergente líquido Tide HE Turbo Clean aroma original  x 4.43 L;TIDE;Cuidado de ropa y calzado;65990
37000330868;Pasta dental Crest regular anti caries ;Pasta dental Crest regular anti caries x 2und x189ml c-u;CREST;Cuidado Personal;10990
37000355106;Suavizante Downy ;Suavizante Downy x 64 onzas;DOWNY;Cuidado de ropa y calzado;10590
37000396864;Suavizante Downy ultra libre suave ;Suavizante Downy ultra libre suave x 1.53l;DOWNY;Cuidado de ropa y calzado;7413
37000401520;Detergente para Máquina Lavavajillas Cascade Gel Fresh ;Detergente para Máquina Lavavajillas Cascade Gel Fresh x 2.12 L;CASCADE;Limpieza de cocina;35990
37000405603;Suavizante Downy brisa limpia ;Suavizante Downy brisa limpia x 1.89l;DOWNY;Cuidado de ropa y calzado;10590
37000425489;Suavizante líquido para la ropa Downy April Fresh ;Suavizante líquido para la ropa Downy April Fresh x 2.8 Lítros;DOWNY;Cuidado de ropa y calzado;12990
37000736691;Lavaloza Dawn ultra escapes ;Lavaloza Dawn ultra escapes x 709ml;DAWN;Limpieza de cocina;12390
37000740643;Lavalozas Líquido Dawn Ultra aroma original ;Lavalozas Líquido Dawn Ultra aroma original x 709 ml;DAWN;Limpieza de cocina;8673
37000762829;Potenciador aroma Downy infusions serena lavanda ;Potenciador aroma Downy infusions serena lavanda x 185g;DOWNY;Cuidado de ropa y calzado;14590
37000762836;Detergente Downy fresh ;Detergente Downy fresh x 275 g;DOWNY;Cuidado de ropa y calzado;15393
37000817536;Detergente líquido Cheer original HE 96 Lav 4.430 ml;Detergente líquido Cheer original HE 96 Lav 4.430 ml;CHEER;Cuidado de ropa y calzado;59990
37000834656;Suavizante Downy ultra infusions serena lavanda ;Suavizante Downy ultra infusions serena lavanda x 1.23l;DOWNY;Cuidado de ropa y calzado;14590
37000834694;Suavizante Downy ultra infusions serena lavanda ;Suavizante Downy ultra infusions serena lavanda x 3.06l;DOWNY;Cuidado de ropa y calzado;18893
37000874720;Detergente Líquido Tide con un toque de Downy April Fresh ;Detergente Líquido Tide con un toque de Downy April Fresh x 1.36 L;TIDE;Cuidado de ropa y calzado;22393
37000875154;Detergente Tide deporte febreze active fr.liquido ;Detergente Tide deporte febreze active fr.liquido x 1.36l;TIDE;Cuidado de ropa y calzado;31990
37000891291;Detergente líquido Tide HE Simply Clean y Fresh Refreshing breeze ;Detergente líquido Tide HE Simply Clean y Fresh Refreshing breeze x 3 L;TIDE;Cuidado de ropa y calzado;37990
37000982166;Detergente para Máquina Lavavajillas Cascade Platinum Fresh Action Pacs ;Detergente para Máquina Lavavajillas Cascade Platinum Fresh Action Pacs x 36 piezas x 173g peso neto;CASCADE;Limpieza de cocina;77990
38000846731;Papas Pringles Original ;Papas Pringles Original X 37g;PRINGLES;Pasabocas;3290
38000846748;Papas Pringles Crema Y Cebolla ;Papas Pringles Crema Y Cebolla X 40g;PRINGLES;Pasabocas;3390
38527590117;Syrup Aunt Jemima Lite ;Syrup Aunt Jemima Lite x 355 g;AUNT JEMIMA;Dulces y postres;17590
39978004628;Harina pancake red mill sin gluten Bobs ;Harina pancake red mill sin gluten Bobs x 623 g;BOBS RED MILL;Dulces y postres;24990
40000015024;Trozos de Chocolate Snickers 124.6 g;Trozos de Chocolate Snickers 124.6 g;SNICKERS;Dulces y postres;9190
40000394129;Chocolate Snickers mantequilla maní barra ;Chocolate Snickers mantequilla maní barra x 50.5 g;SNICKERS;Dulces y postres;3290
40000422068;Barra de Chocolate Milky Way con turron y arequipe ;Barra de Chocolate Milky Way con turron y arequipe x 52.2 g.;MILKYWAY;Dulces y postres;2890
40000458708;Trozos miniatura de Chocolate Milky Way 85 g.;Trozos miniatura de Chocolate Milky Way 85 g.;MILKYWAY;Dulces y postres;8190
40000464082;Trozos miniatura de Chocolate Snickers ;Trozos miniatura de Chocolate Snickers x 6 und. x 96.4 g.;SNICKERS;Dulces y postres;6990
40000464280;Chocolate Milkyway caramelo barra ;Chocolate Milkyway caramelo barra x 6 und x 125.3 g;MILKYWAY;Dulces y postres;8390
40000512776;Chocolate MyM,´s almendra ;Chocolate MyM,´s almendra x 263.6g;A1-Integracion;Dulces y postres;16990
40000512790;Chocolate MyM,´s crujiente ;Chocolate MyM,´s crujiente x 226.7g;A1-Integracion;Dulces y postres;14990
40000514206;Chocolate Twix barra ;Chocolate Twix barra x 50.7 g;TWIX;Dulces y postres;2790
40000514251;Chocolate snickers en barra ;Chocolate snickers en barra x 52.7g;SNICKERS;Dulces y postres;2690
40000514480;Chocolates myms, ;Chocolates myms, x 47.9g;MyMS,;Dulces y postres;2790
40000514510;Chocolates myms, maní ;Chocolates myms, maní x 49.3 g;MyMS,;Dulces y postres;3090
40000520412;Chocolate MyM,´s café nuez ;Chocolate MyM,´s café nuez x 272g;A1-Integracion;Dulces y postres;14990
40000525325;Chocolates Milkyway minis ;Chocolates Milkyway minis x 275 g;MILKYWAY;Dulces y postres;18990
40900501160;Crema Chantilli Baja en grasa ;Crema Chantilli Baja en grasa x 184 g;CENTURION FOODS;Dulces y postres;10493
41789002915;Sopa sabor a pollo Maruchan ;Sopa sabor a pollo Maruchan x 85g;MARUCHAN;Despensa;1390
43194160037;Clip pequeño carey Trim ;Clip pequeño carey Trim x 2 und;TRIM;Belleza;4590
43194370443;Combo hebillas y bandas elasticas Trim;Combo hebillas y bandas elasticas Trim;TRIM;Belleza;5990
43194943753;Caimanes Scunci pequeño ;Caimanes Scunci pequeño x 8 und;SCUNCI;Belleza;6990
43194944378;Bandas elásticas negras ;Bandas elásticas negras x 8 und;TRIM;Belleza;8390
43194944439;Bandas elasticas scunci color tierra ;Bandas elasticas scunci color tierra x 10 und;SCUNCI;Belleza;6990
44100006852;Queso Fat Free Cottage Hp Hood ;Queso Fat Free Cottage Hp Hood x 453 g;PREMIUM CHOICE;Charcutería;15680
